note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
82,44.0,2.25,64.0,0.25,8.0,349.0
83,44.0,2.5,62.0,0.25,8.0,350.0
84,44.0,2.75,60.0,0.25,8.0,351.0
85,45.0,1.0,58.0,0.5,8.0,352.0
86,45.0,1.5,60.0,0.5,8.0,354.0
87,45.0,2.0,62.0,1.0,8.0,356.0
88,48.0,1.0,55.0,1.0,8.0,376.0
89,48.0,2.0,53.0,1.0,8.0,380.0
90,49.0,1.0,58.0,1.0,8.0,384.0
91,49.0,2.0,60.0,0.5,8.0,388.0
92,49.0,2.5,62.0,0.5,8.0,390.0
93,50.0,1.5,60.0,0.25,8.0,394.0
94,50.0,1.75,58.0,0.25,8.0,395.0
95,50.0,2.0,57.0,1.0,8.0,396.0
96,51.0,1.0,55.0,0.5,8.0,400.0
97,51.0,1.5,58.0,1.0,8.0,402.0
98,51.0,2.5,55.0,0.5,8.0,406.0
99,52.0,1.0,58.0,0.75,8.0,408.0
100,52.0,1.75,60.0,0.25,8.0,411.0
101,52.0,2.0,62.0,0.5,8.0,412.0
102,52.0,2.5,55.0,0.5,8.0,414.0
103,53.0,1.0,58.0,0.75,8.0,416.0
104,53.0,1.75,60.0,0.25,8.0,419.0
105,53.0,2.0,62.0,0.5,8.0,420.0
106,53.0,2.5,58.0,0.5,8.0,422.0
107,54.0,1.0,62.0,0.75,8.0,424.0
108,54.0,1.75,64.0,0.25,8.0,427.0
109,54.0,2.0,65.0,0.5,8.0,428.0
110,54.0,2.5,62.0,0.5,8.0,430.0
111,55.0,1.0,65.0,0.75,8.0,432.0
112,55.0,1.75,64.0,0.25,8.0,435.0
113,55.0,2.0,62.0,0.25,8.0,436.0
114,55.0,2.25,60.0,0.25,8.0,437.0
115,55.0,2.5,58.0,0.5,8.0,438.0
116,56.0,1.5,57.0,0.5,8.0,442.0
117,56.0,2.0,55.0,1.0,8.0,444.0
118,57.0,1.0,53.0,1.5,8.0,448.0
119,57.0,2.5,55.0,0.5,8.0,454.0
120,58.0,1.0,57.0,1.0,8.0,456.0
121,58.0,2.0,58.0,1.0,8.0,460.0
122,59.0,1.0,57.0,0.5,8.0,464.0
123,59.0,1.5,58.0,0.5,8.0,466.0
124,59.0,2.0,55.0,0.5,8.0,468.0
125,59.0,2.5,58.0,0.5,8.0,470.0
126,60.0,1.0,57.0,0.5,8.0,472.0
127,60.0,1.5,55.0,1.0,8.0,474.0
128,60.0,2.5,53.0,0.5,8.0,478.0
129,61.0,1.0,55.0,2.0,8.0,480.0
130,63.0,2.5,50.0,0.5,8.0,502.0
131,64.0,1.0,50.0,0.5,8.0,504.0
132,64.0,1.5,50.0,0.5,8.0,506.0
133,64.0,2.0,53.0,0.75,8.0,508.0
134,64.0,2.75,55.0,0.25,8.0,511.0
135,65.0,1.0,57.0,1.0,8.0,512.0
136,66.0,2.5,57.0,0.5,8.0,526.0
137,67.0,1.5,55.0,0.5,8.0,530.0
138,67.0,2.0,57.0,0.5,8.0,532.0
139,67.0,2.5,53.0,0.5,8.0,534.0
140,68.0,1.0,52.0,1.0,8.0,536.0
141,69.0,1.0,55.0,1.0,8.0,544.0
142,69.0,2.0,62.0,1.0,8.0,548.0
